ticker,fund_name,issuer,column,existing_value,suggested_value,confidence
DVIN US,WEBS INDUSTRIALS XLI DEFINED VOLATILITY ETF,WEBs ETF Trust,primary_strategy,Defined Outcome,Plain Beta,MEDIUM
DVIN US,WEBS INDUSTRIALS XLI DEFINED VOLATILITY ETF,WEBs ETF Trust,sub_strategy,Buffer,Sector,MEDIUM
DVIN US,WEBS INDUSTRIALS XLI DEFINED VOLATILITY ETF,WEBs ETF Trust,mechanism,physical,swap,HIGH
DVOL US,FIRST TRUST DORSEY WRIGHT MOMENTUM & LOW VOLATILITY ETF,First Trust Exchange-Traded Fu,asset_class,Volatility,Equity,HIGH
DVQQ US,WEBS QQQ DEFINED VOLATILITY ETF,WEBs ETF Trust,primary_strategy,Defined Outcome,Plain Beta,LOW
DVQQ US,WEBS QQQ DEFINED VOLATILITY ETF,WEBs ETF Trust,sub_strategy,Buffer,Broad,LOW
DVQQ US,WEBS QQQ DEFINED VOLATILITY ETF,WEBs ETF Trust,mechanism,physical,swap,HIGH
DVRE US,WEBS REAL ESTATE XLRE DEFINED VOLATILITY ETF,WEBs ETF Trust,primary_strategy,Defined Outcome,Plain Beta,MEDIUM
DVRE US,WEBS REAL ESTATE XLRE DEFINED VOLATILITY ETF,WEBs ETF Trust,sub_strategy,Buffer,Sector,MEDIUM
DVRE US,WEBS REAL ESTATE XLRE DEFINED VOLATILITY ETF,WEBs ETF Trust,mechanism,physical,swap,HIGH
DVSP US,WEBS SPY DEFINED VOLATILITY ETF,WEBs ETF Trust,primary_strategy,Defined Outcome,Plain Beta,LOW
DVSP US,WEBS SPY DEFINED VOLATILITY ETF,WEBs ETF Trust,sub_strategy,Buffer,Broad,LOW
DVSP US,WEBS SPY DEFINED VOLATILITY ETF,WEBs ETF Trust,mechanism,physical,swap,HIGH
DVUT US,WEBS UTILITIES XLU DEFINED VOLATILITY ETF,WEBs ETF Trust,primary_strategy,Defined Outcome,Plain Beta,MEDIUM
DVUT US,WEBS UTILITIES XLU DEFINED VOLATILITY ETF,WEBs ETF Trust,sub_strategy,Buffer,Sector,MEDIUM
DVUT US,WEBS UTILITIES XLU DEFINED VOLATILITY ETF,WEBs ETF Trust,mechanism,physical,swap,HIGH
DVVY US,INVESCO DIVERSIFIED DIVIDEND OPPORTUNITIES ETF,Powershares Actively Managed E,sub_strategy,Style,Broad,LOW
DVXB US,WEBS MATERIALS XLB DEFINED VOLATILITY ETF,WEBs ETF Trust,primary_strategy,Defined Outcome,Plain Beta,MEDIUM
DVXB US,WEBS MATERIALS XLB DEFINED VOLATILITY ETF,WEBs ETF Trust,sub_strategy,Buffer,Sector,MEDIUM
DVXB US,WEBS MATERIALS XLB DEFINED VOLATILITY ETF,WEBs ETF Trust,mechanism,physical,swap,HIGH
DVXC US,WEBS COMMUNICATION SERVICES XLC DEFINED VOLATILITY ETF,WEBs ETF Trust,primary_strategy,Defined Outcome,Plain Beta,MEDIUM
DVXC US,WEBS COMMUNICATION SERVICES XLC DEFINED VOLATILITY ETF,WEBs ETF Trust,sub_strategy,Buffer,Sector,MEDIUM
DVXC US,WEBS COMMUNICATION SERVICES XLC DEFINED VOLATILITY ETF,WEBs ETF Trust,mechanism,physical,swap,HIGH
DVXE US,WEBS ENERGY XLE DEFINED VOLATILITY ETF,WEBs ETF Trust,primary_strategy,Defined Outcome,Plain Beta,MEDIUM
DVXE US,WEBS ENERGY XLE DEFINED VOLATILITY ETF,WEBs ETF Trust,sub_strategy,Buffer,Sector,MEDIUM
DVXE US,WEBS ENERGY XLE DEFINED VOLATILITY ETF,WEBs ETF Trust,mechanism,physical,swap,HIGH
DVXF US,WEBS FINANCIAL XLF DEFINED VOLATILITY ETF,WEBs ETF Trust,primary_strategy,Defined Outcome,Plain Beta,MEDIUM
DVXF US,WEBS FINANCIAL XLF DEFINED VOLATILITY ETF,WEBs ETF Trust,sub_strategy,Buffer,Sector,MEDIUM
DVXF US,WEBS FINANCIAL XLF DEFINED VOLATILITY ETF,WEBs ETF Trust,mechanism,physical,swap,HIGH
DVXK US,WEBS TECHNOLOGY XLK DEFINED VOLATILITY ETF,WEBs ETF Trust,primary_strategy,Defined Outcome,Plain Beta,MEDIUM
DVXK US,WEBS TECHNOLOGY XLK DEFINED VOLATILITY ETF,WEBs ETF Trust,sub_strategy,Buffer,Sector,MEDIUM
DVXK US,WEBS TECHNOLOGY XLK DEFINED VOLATILITY ETF,WEBs ETF Trust,mechanism,physical,swap,HIGH
DVXP US,WEBS CONSUMER STAPLES XLP DEFINED VOLATILITY ETF,WEBs ETF Trust,primary_strategy,Defined Outcome,Plain Beta,MEDIUM
DVXP US,WEBS CONSUMER STAPLES XLP DEFINED VOLATILITY ETF,WEBs ETF Trust,sub_strategy,Buffer,Sector,MEDIUM
DVXP US,WEBS CONSUMER STAPLES XLP DEFINED VOLATILITY ETF,WEBs ETF Trust,mechanism,physical,swap,HIGH
DVXV US,WEBS HEALTH CARE XLV DEFINED VOLATILITY ETF,WEBs ETF Trust,primary_strategy,Defined Outcome,Plain Beta,MEDIUM
DVXV US,WEBS HEALTH CARE XLV DEFINED VOLATILITY ETF,WEBs ETF Trust,sub_strategy,Buffer,Sector,MEDIUM
DVXV US,WEBS HEALTH CARE XLV DEFINED VOLATILITY ETF,WEBs ETF Trust,mechanism,physical,swap,HIGH
DVXY US,WEBS CONSUMER DISCRETIONARY XLY DEFINED VOLATILITY ETF,WEBs ETF Trust,primary_strategy,Defined Outcome,Plain Beta,MEDIUM
DVXY US,WEBS CONSUMER DISCRETIONARY XLY DEFINED VOLATILITY ETF,WEBs ETF Trust,sub_strategy,Buffer,Sector,MEDIUM
DVXY US,WEBS CONSUMER DISCRETIONARY XLY DEFINED VOLATILITY ETF,WEBs ETF Trust,mechanism,physical,swap,HIGH
DWSH US,ADVISORSHARES DORSEY WRIGHT SHORT ETF,AdvisorShares ETFs/USA,primary_strategy,Risk Mgmt,Plain Beta,HIGH
DWSH US,ADVISORSHARES DORSEY WRIGHT SHORT ETF,AdvisorShares ETFs/USA,sub_strategy,Alternatives,Broad,HIGH
DWSH US,ADVISORSHARES DORSEY WRIGHT SHORT ETF,AdvisorShares ETFs/USA,mechanism,physical,options,MEDIUM
DXD US,PROSHARES ULTRASHORT DOW30,ProShares Trust,sub_strategy,Short,Long,HIGH
DXD US,PROSHARES ULTRASHORT DOW30,ProShares Trust,direction,short,neutral,HIGH
DXD US,PROSHARES ULTRASHORT DOW30,ProShares Trust,mechanism,physical,swap,HIGH
DXJ US,WISDOMTREE JAPAN HEDGED EQUITY FUND,WisdomTree ETFs/USA,primary_strategy,Risk Mgmt,Plain Beta,MEDIUM
DXJ US,WISDOMTREE JAPAN HEDGED EQUITY FUND,WisdomTree ETFs/USA,sub_strategy,Hedged Equity,Broad,MEDIUM
DYLG US,GLOBAL X DOW 30 COVERED CALL & GROWTH ETF,Global X ETFs/USA,mechanism,physical,options,HIGH
DYTA US,SGI DIVERSIFIED TACTICAL FUND/THE,RBB Fund Inc/Summit Global Inv,asset_class,Multi-Asset,Equity,HIGH
DYTA US,SGI DIVERSIFIED TACTICAL FUND/THE,RBB Fund Inc/Summit Global Inv,primary_strategy,Risk Mgmt,Plain Beta,LOW
DYTA US,SGI DIVERSIFIED TACTICAL FUND/THE,RBB Fund Inc/Summit Global Inv,sub_strategy,Risk-Adaptive,Broad,LOW
DYYXF US,DB COMMODITY DOUBLE LONG EXCHANGE TRADED NOTES,DB ETNs/USA,mechanism,physical,swap,HIGH
DZZ US,DB GOLD DOUBLE SHORT EXCHANGE TRADED NOTES,DB ETNs/USA,mechanism,physical,swap,HIGH
EALT US,INNOVATOR US EQUITY 5 TO 15 BUFFER ETF-QUARTERLY,Innovator ETF Trust,mechanism,physical,options,HIGH
EAOA US,ISHARES ESG AWARE 80/20 AGGRESSIVE ALLOCATION ETF,iShares Trust,sub_strategy,Allocation,Broad,HIGH
EAOK US,ISHARES ESG AWARE 30/70 CONSERVATIVE ALLOCATION ETF,iShares Trust,sub_strategy,Allocation,Broad,HIGH
EAOM US,ISHARES ESG AWARE 40/60 MODERATE ALLOCATION ETF,iShares Trust,sub_strategy,Allocation,Broad,HIGH
EAOR US,ISHARES ESG AWARE 60/40 BALANCED ALLOCATION ETF,iShares Trust,sub_strategy,Allocation,Broad,HIGH
EAPR US,INNOVATOR EMERGING MARKETS POWER BUFFER ETF - APRIL,Innovator ETF Trust,mechanism,physical,options,HIGH
EBIZ US,GLOBAL X E-COMMERCE ETF,Global X ETFs/USA,sub_strategy,Thematic,Broad,MEDIUM
EBUF US,INNOVATOR EMERGING MARKETS 10 BUFFER ETF - QUARTERLY,Innovator ETF Trust,mechanism,physical,options,HIGH
ECON US,COLUMBIA RESEARCH ENHANCED EMERGING ECONOMIES ETF,Columbia ETF Trust I,sub_strategy,Thematic,Broad,LOW
EDC US,DIREXION DAILY MSCI EMERGING MARKETS BULL 3X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
EDEN US,ISHARES MSCI DENMARK ETF,iShares Trust,sub_strategy,Broad,Sector,MEDIUM
EDGE US,MRBL ENHANCED EQUITY ETF,EA Series Trust,primary_strategy,Income,L&I,HIGH
EDGE US,MRBL ENHANCED EQUITY ETF,EA Series Trust,sub_strategy,Derivative Income > Covered Call,Long,HIGH
EDGE US,MRBL ENHANCED EQUITY ETF,EA Series Trust,mechanism,physical,swap,MEDIUM
EDGQ US,GLOBAL X NASDAQ-100 INCOME EDGE ETF,Global X ETFs/USA,mechanism,physical,options,MEDIUM
EDGX US,GLOBAL X US 500 INCOME EDGE ETF,Global X ETFs/USA,mechanism,physical,options,MEDIUM
EDOG US,ALPS EMERGING SECTOR DIVIDEND DOGS ETF,ALPS ETF Trust,sub_strategy,Sector,Broad,LOW
EDOW US,FIRST TRUST DOW 30 EQUAL WEIGHT ETF,First Trust Exchange-Traded Fu,sub_strategy,Broad,Sector,MEDIUM
EDZ US,DIREXION DAILY MSCI EMERGING MARKETS BEAR 3X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
EEE US,CYBER HORNET S&P 500 AND ETHEREUM 75/25 STRATEGY ETF,Cyber Hornet Trust,asset_class,Equity,Crypto,HIGH
EEE US,CYBER HORNET S&P 500 AND ETHEREUM 75/25 STRATEGY ETF,Cyber Hornet Trust,underlier_name,crypto + traditional asset,Ethereum,MEDIUM
EEE US,CYBER HORNET S&P 500 AND ETHEREUM 75/25 STRATEGY ETF,Cyber Hornet Trust,concentration,single,basket,MEDIUM
EEEE US,4E QUALITY GROWTH ETF,Tidal Trust III,sub_strategy,Style,Sector,MEDIUM
EELV US,INVESCO S&P EMERGING MARKETS LOW VOLATILITY ETF,Invesco Exchange-Traded Fund T,asset_class,Volatility,Equity,HIGH
EET US,PROSHARES ULTRA MSCI EMERGING MARKETS,ProShares Trust,direction,long,neutral,HIGH
EET US,PROSHARES ULTRA MSCI EMERGING MARKETS,ProShares Trust,mechanism,physical,swap,HIGH
EETH US,PROSHARES ETHER ETF,ProShares Trust,mechanism,physical,options,MEDIUM
EEV US,PROSHARES ULTRASHORT MSCI EMERGING MARKETS,ProShares Trust,sub_strategy,Short,Long,HIGH
EEV US,PROSHARES ULTRASHORT MSCI EMERGING MARKETS,ProShares Trust,direction,short,neutral,HIGH
EEV US,PROSHARES ULTRASHORT MSCI EMERGING MARKETS,ProShares Trust,mechanism,physical,swap,HIGH
EFAY US,DEFIANCE MSCI EAFE ENHANCED OPTIONS INCOME ETF,Tidal Trust II,asset_class,Multi-Asset,Equity,HIGH
EFAY US,DEFIANCE MSCI EAFE ENHANCED OPTIONS INCOME ETF,Tidal Trust II,primary_strategy,Risk Mgmt,Plain Beta,MEDIUM
EFAY US,DEFIANCE MSCI EAFE ENHANCED OPTIONS INCOME ETF,Tidal Trust II,sub_strategy,Alternatives,Broad,MEDIUM
EFG US,ISHARES MSCI EAFE GROWTH ETF,iShares Trust,sub_strategy,Style,Broad,MEDIUM
EFO US,PROSHARES ULTRA MSCI EAFE,ProShares Trust,direction,long,neutral,HIGH
EFO US,PROSHARES ULTRA MSCI EAFE,ProShares Trust,mechanism,physical,swap,HIGH
EFRA US,ISHARES ENVIRONMENTAL INFRASTRUCTURE AND INDUSTRIALS ETF,iShares Trust,sub_strategy,Thematic,Sector,MEDIUM
EFU US,PROSHARES ULTRASHORT MSCI EAFE,ProShares Trust,sub_strategy,Short,Long,HIGH
EFU US,PROSHARES ULTRASHORT MSCI EAFE,ProShares Trust,direction,short,neutral,HIGH
EFU US,PROSHARES ULTRASHORT MSCI EAFE,ProShares Trust,mechanism,physical,swap,HIGH
EFV US,ISHARES MSCI EAFE VALUE ETF,iShares Trust,sub_strategy,Style,Broad,MEDIUM
EFZ US,PROSHARES SHORT MSCI EAFE,ProShares Trust,mechanism,physical,swap,HIGH
EGGQ US,NESTYIELD VISIONARY ETF,Tidal Trust III,primary_strategy,Risk Mgmt,Plain Beta,HIGH
EGGQ US,NESTYIELD VISIONARY ETF,Tidal Trust III,sub_strategy,Alternatives,Broad,HIGH
EGGQ US,NESTYIELD VISIONARY ETF,Tidal Trust III,mechanism,physical,swap,HIGH
EGGS US,NESTYIELD TOTAL RETURN GUARD ETF,Tidal Trust III,primary_strategy,Income,Plain Beta,HIGH
EGGS US,NESTYIELD TOTAL RETURN GUARD ETF,Tidal Trust III,sub_strategy,Derivative Income > Covered Call,Broad,HIGH
EGGS US,NESTYIELD TOTAL RETURN GUARD ETF,Tidal Trust III,mechanism,physical,options,MEDIUM
EGGY US,NESTYIELD DYNAMIC INCOME ETF,Tidal Trust III,primary_strategy,Income,Plain Beta,LOW
EGGY US,NESTYIELD DYNAMIC INCOME ETF,Tidal Trust III,sub_strategy,Derivative Income > Covered Call,Broad,LOW
EGGY US,NESTYIELD DYNAMIC INCOME ETF,Tidal Trust III,mechanism,physical,swap,HIGH
EHCC US,GLOBAL X ETHEREUM COVERED CALL ETF,Global X ETFs/USA,concentration,single,basket,MEDIUM
EHCC US,GLOBAL X ETHEREUM COVERED CALL ETF,Global X ETFs/USA,mechanism,physical,options,MEDIUM
EHLS US,EVEN HERD LONG SHORT ETF,Tidal Trust II,mechanism,physical,options,MEDIUM
EHY US,AMPLIFY ETHEREUM MAX INCOME COVERED CALL ETF,Amplify ETF Trust,primary_strategy,Income,Plain Beta,HIGH
EHY US,AMPLIFY ETHEREUM MAX INCOME COVERED CALL ETF,Amplify ETF Trust,sub_strategy,Derivative Income > Covered Call,Single-Access,HIGH
EHY US,AMPLIFY ETHEREUM MAX INCOME COVERED CALL ETF,Amplify ETF Trust,mechanism,physical,options,MEDIUM
EINC US,VANECK ENERGY INCOME ETF,VanEck ETFs/USA,sub_strategy,Broad,Sector,MEDIUM
EIPI US,FT ENERGY INCOME PARTNERS ENHANCED INCOME ETF,First Trust Exchange-Traded Fu,sub_strategy,Broad,Sector,MEDIUM
EIPX US,FT ENERGY INCOME PARTNERS STRATEGY ETF,First Trust Exchange-Traded Fu,sub_strategy,Broad,Sector,MEDIUM
EJAN US,INNOVATOR EMERGING MARKETS POWER BUFFER ETF - JANUARY,Innovator ETF Trust,mechanism,physical,options,HIGH
EJUL US,INNOVATOR EMERGING MARKETS POWER BUFFER ETF - JULY,Innovator ETF Trust,mechanism,physical,options,HIGH
EKG US,FIRST TRUST NASDAQ LUX DIGITAL HEALTH SOLUTIONS ETF,First Trust Exchange-Traded Fu,sub_strategy,Thematic,Sector,MEDIUM
ELCV US,EVENTIDE HIGH DIVIDEND ETF,Strategy Shares Inc/Eventide A,sub_strategy,Style,Broad,LOW
ELFY US,ALPS ELECTRIFICATION INFRASTRUCTURE ETF,ALPS ETF Trust,sub_strategy,Thematic,Broad,LOW
ELIL US,DIREXION DAILY LLY BULL 2X ETF,Direxion ETFs/USA,underlier_name,LLY US,LLY,HIGH
ELIL US,DIREXION DAILY LLY BULL 2X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
ELM US,ELM MARKET NAVIGATOR ETF,Series Portfolios Trust,sub_strategy,Allocation,Broad,HIGH
EMCR US,XTRACKERS EMERGING MARKETS CARBON REDUCTION AND CLIMATE IMPROVERS ETF,DWS Xtrackers ETFs/USA,sub_strategy,Thematic,Broad,LOW
EMDM US,FIRST TRUST BLOOMBERG EMERGING MARKET DEMOCRACIES ETF,First Trust Exchange-Traded Fu,sub_strategy,Thematic,Broad,MEDIUM
EMET US,VANECK COPPER AND GREEN METALS ETF,VanEck ETFs/USA,asset_class,Commodity,Equity,HIGH
EMET US,VANECK COPPER AND GREEN METALS ETF,VanEck ETFs/USA,sub_strategy,Broad,Sector,MEDIUM
EMIF US,ISHARES EMERGING MARKETS INFRASTRUCTURE ETF,iShares Trust,sub_strategy,Thematic,Broad,LOW
EMLC US,VANECK J. P. MORGAN EM LOCAL CURRENCY BOND ETF,VanEck ETFs/USA,asset_class,Fixed Income,Currency,HIGH
EMLP US,FIRST TRUST NORTH AMERICAN ENERGY INFRASTRUCTURE FUND,First Trust Exchange-Traded Fu,sub_strategy,Thematic,Sector,MEDIUM
EMPB US,EFFICIENT MARKET PORTFOLIO PLUS ETF,EA Series Trust,primary_strategy,Risk Mgmt,Plain Beta,HIGH
EMPB US,EFFICIENT MARKET PORTFOLIO PLUS ETF,EA Series Trust,sub_strategy,Alternatives,Broad,HIGH
EMPB US,EFFICIENT MARKET PORTFOLIO PLUS ETF,EA Series Trust,mechanism,physical,options,MEDIUM
EMQQ US,EMERGING MARKETS INTERNET ETF/THE,Exchange-Traded Concepts ETFs/,sub_strategy,Thematic,Broad,LOW
EMSF US,MATTHEWS EMERGING MARKETS SUSTAINABLE FUTURE ACTIVE ETF,Matthews International Funds,sub_strategy,Broad,Thematic,MEDIUM
EMTY US,PROSHARES DECLINE OF THE RETAIL STORE ETF,ProShares Trust,sub_strategy,Short,Long,HIGH
EMTY US,PROSHARES DECLINE OF THE RETAIL STORE ETF,ProShares Trust,direction,short,neutral,HIGH
EMTY US,PROSHARES DECLINE OF THE RETAIL STORE ETF,ProShares Trust,mechanism,physical,swap,HIGH
ENDW US,CAMBRIA ENDOWMENT STYLE ETF,EA Series Trust/Empowered Fund,sub_strategy,Allocation,Broad,HIGH
ENFR US,ALERIAN ENERGY INFRASTRUCTURE ETF,ALPS ETF Trust,sub_strategy,Thematic,Sector,MEDIUM
ENRG US,NINEPOINT ENERGY ETF,Tidal Trust III,sub_strategy,Broad,Sector,MEDIUM
EOCT US,INNOVATOR EMERGING MARKETS POWER BUFFER ETF-OCTOBER,Innovator ETF Trust,mechanism,physical,options,HIGH
EOSU US,T-REX 2X LONG EOSE DAILY TARGET ETF,ETF Opportunities Trust/REX Sh,underlier_name,EOSE US,EOSE,HIGH
EOSU US,T-REX 2X LONG EOSE DAILY TARGET ETF,ETF Opportunities Trust/REX Sh,mechanism,physical,swap,HIGH
EOSX US,DEFIANCE LEVERAGED LONG EOSE ETF,Tidal Trust II,primary_strategy,Plain Beta,L&I,HIGH
EOSX US,DEFIANCE LEVERAGED LONG EOSE ETF,Tidal Trust II,sub_strategy,Broad,Long,HIGH
EOSX US,DEFIANCE LEVERAGED LONG EOSE ETF,Tidal Trust II,mechanism,physical,swap,MEDIUM
EPOL US,ISHARES MSCI POLAND ETF,iShares Trust,sub_strategy,Broad,Sector,MEDIUM
EPV US,PROSHARES ULTRASHORT FTSE EUROPE,ProShares Trust,sub_strategy,Short,Long,HIGH
EPV US,PROSHARES ULTRASHORT FTSE EUROPE,ProShares Trust,direction,short,neutral,HIGH
EPV US,PROSHARES ULTRASHORT FTSE EUROPE,ProShares Trust,mechanism,physical,swap,HIGH
EQL US,ALPS EQUAL SECTOR WEIGHT ETF,ALPS ETF Trust,sub_strategy,Sector,Broad,LOW
ERET US,ISHARES ENVIRONMENTALLY AWARE REAL ESTATE ETF,iShares Trust,sub_strategy,Thematic,Sector,MEDIUM
ERX US,DIREXION DAILY ENERGY BULL 2X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
ERY US,DIREXION DAILY ENERGY BEAR 2X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
ESBG US,FIRST TRUST ENHANCED STOCKS BONDS & GOLD ETF,First Trust Exchange-Traded Fu,asset_class,Commodity,Multi-Asset,HIGH
ESBG US,FIRST TRUST ENHANCED STOCKS BONDS & GOLD ETF,First Trust Exchange-Traded Fu,mechanism,physical,options,MEDIUM
ESPO US,VANECK VIDEO GAMING AND ESPORTS ETF,VanEck ETFs/USA,sub_strategy,Thematic,Sector,MEDIUM
ETCO US,GRAYSCALE ETHEREUM COVERED CALL ETF,Grayscale Investments LLC/USA,primary_strategy,Income,Plain Beta,HIGH
ETCO US,GRAYSCALE ETHEREUM COVERED CALL ETF,Grayscale Investments LLC/USA,sub_strategy,Derivative Income > Covered Call,Single-Access,HIGH
ETCO US,GRAYSCALE ETHEREUM COVERED CALL ETF,Grayscale Investments LLC/USA,mechanism,physical,options,MEDIUM
ETEC US,ISHARES BREAKTHROUGH ENVIRONMENTAL SOLUTIONS ETF,iShares Trust,sub_strategy,Thematic,Broad,LOW
ETHB US,ISHARES STAKED ETHEREUM TRUST ETF,iShares Delaware Trust Sponsor,concentration,single,basket,MEDIUM
ETHD US,PROSHARES ULTRASHORT ETHER ETF,ProShares Trust,sub_strategy,Short,Long,HIGH
ETHD US,PROSHARES ULTRASHORT ETHER ETF,ProShares Trust,direction,short,neutral,HIGH
ETHD US,PROSHARES ULTRASHORT ETHER ETF,ProShares Trust,underlier_name,XETUSD Curncy,Ethereum,HIGH
ETHD US,PROSHARES ULTRASHORT ETHER ETF,ProShares Trust,mechanism,physical,swap,HIGH
ETHO US,AMPLIFY ETHO CLIMATE LEADERSHIP US ETF,Amplify ETF Trust,sub_strategy,Thematic,Broad,LOW
ETHT US,PROSHARES ULTRA ETHER ETF,ProShares Trust,direction,long,neutral,HIGH
ETHT US,PROSHARES ULTRA ETHER ETF,ProShares Trust,underlier_name,XETUSD Curncy,Ethereum,HIGH
ETHT US,PROSHARES ULTRA ETHER ETF,ProShares Trust,mechanism,physical,swap,HIGH
ETHU US,2X ETHER ETF,Volatility Shares Trust,direction,long,neutral,HIGH
ETHU US,2X ETHER ETF,Volatility Shares Trust,underlier_name,XETUSD Curncy,Ethereum,HIGH
ETHU US,2X ETHER ETF,Volatility Shares Trust,mechanism,physical,swap,MEDIUM
ETRL US,GRANITESHARES 2X LONG ETOR DAILY ETF,GraniteShares ETF Trust,underlier_name,ETOR US,ETOR,HIGH
ETRL US,GRANITESHARES 2X LONG ETOR DAILY ETF,GraniteShares ETF Trust,mechanism,physical,swap,HIGH
ETTY US,AMPLIFY ETHEREUM 3% MONTHLY OPTION INCOME ETF,Amplify ETF Trust,primary_strategy,Income,Plain Beta,HIGH
ETTY US,AMPLIFY ETHEREUM 3% MONTHLY OPTION INCOME ETF,Amplify ETF Trust,sub_strategy,Derivative Income > Covered Call,Single-Access,HIGH
ETTY US,AMPLIFY ETHEREUM 3% MONTHLY OPTION INCOME ETF,Amplify ETF Trust,mechanism,physical,options,MEDIUM
ETU US,T-REX 2X LONG ETHER DAILY TARGET ETF,ETF Opportunities Trust/REX Sh,underlier_name,XETUSD Curncy,Ethereum,HIGH
ETU US,T-REX 2X LONG ETHER DAILY TARGET ETF,ETF Opportunities Trust/REX Sh,mechanism,physical,swap,HIGH
EUAD US,SELECT STOXX EUROPE AEROSPACE & DEFENSE ETF,Spinnaker ETF Trust,sub_strategy,Thematic,Broad,MEDIUM
EUDG US,WISDOMTREE TRUST-WISDOMTREE EUROPE QUALITY DIVIDEND GROWTH FUND,WisdomTree ETFs/USA,sub_strategy,Style,Broad,MEDIUM
EUFN US,ISHARES MSCI EUROPE FINANCIALS ETF,iShares Trust,sub_strategy,Broad,Sector,MEDIUM
EUHY US,ISHARES EURO HIGH YIELD CORPORATE BOND USD HEDGED ETF,iShares Inc,asset_class,Fixed Income,Currency,HIGH
EUIG US,ISHARES EURO INVESTMENT GRADE CORPORATE BOND USD HEDGED ETF,iShares Trust,asset_class,Fixed Income,Currency,HIGH
EUM US,PROSHARES SHORT MSCI EMERGING MARKETS,ProShares Trust,mechanism,physical,swap,HIGH
EUO US,PROSHARES ULTRASHORT EURO,ProShares Trust II,asset_class,Multi-Asset,Currency,HIGH
EUO US,PROSHARES ULTRASHORT EURO,ProShares Trust II,sub_strategy,Short,Long,HIGH
EUO US,PROSHARES ULTRASHORT EURO,ProShares Trust II,direction,short,neutral,HIGH
EUO US,PROSHARES ULTRASHORT EURO,ProShares Trust II,underlier_name,EURUSD Curncy,EURUSD,HIGH
EUO US,PROSHARES ULTRASHORT EURO,ProShares Trust II,mechanism,physical,swap,HIGH
EURL US,DIREXION DAILY FTSE EUROPE BULL 3X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
EVMT US,INVESCO ELECTRIC VEHICLE METALS COMMODITY STRATEGY NO K-1 ETF,Invesco Actively Managed Excha,mechanism,physical,swap,HIGH
EVNT US,ALTSHARES EVENT-DRIVEN ETF,AltShares Trust,primary_strategy,Risk Mgmt,Plain Beta,HIGH
EVNT US,ALTSHARES EVENT-DRIVEN ETF,AltShares Trust,sub_strategy,Alternatives,Broad,HIGH
EVX US,VANECK ENVIRONMENTAL SERVICES ETF,VanEck ETFs/USA,sub_strategy,Thematic,Broad,LOW
EWJV US,ISHARES MSCI JAPAN VALUE ETF,iShares Trust,sub_strategy,Style,Broad,MEDIUM
EWV US,PROSHARES ULTRASHORT MSCI JAPAN,ProShares Trust,sub_strategy,Short,Long,HIGH
EWV US,PROSHARES ULTRASHORT MSCI JAPAN,ProShares Trust,direction,short,neutral,HIGH
EWV US,PROSHARES ULTRASHORT MSCI JAPAN,ProShares Trust,mechanism,physical,swap,HIGH
EWY US,ISHARES MSCI SOUTH KOREA ETF,iShares Inc,sub_strategy,Broad,Sector,MEDIUM
EX US,HASHDEX ETHEREUM STRATEGY ETF,Strategic Trust,primary_strategy,L&I,Plain Beta,HIGH
EX US,HASHDEX ETHEREUM STRATEGY ETF,Strategic Trust,sub_strategy,Long,Single-Access,HIGH
EX US,HASHDEX ETHEREUM STRATEGY ETF,Strategic Trust,mechanism,swap,physical,MEDIUM
EZJ US,PROSHARES ULTRA MSCI JAPAN,ProShares Trust,direction,long,neutral,HIGH
EZJ US,PROSHARES ULTRA MSCI JAPAN,ProShares Trust,mechanism,physical,swap,HIGH
EZMO US,ALPHADROID BROAD MARKETS MOMENTUM ETF,Listed Funds Trust/Teucrium In,sub_strategy,Style,Broad,HIGH
EZPZ US,FRANKLIN CRYPTO INDEX ETF,Franklin Crypto Trust,underlier_name,multi-token crypto,CFIDAX,MEDIUM
EZPZ US,FRANKLIN CRYPTO INDEX ETF,Franklin Crypto Trust,concentration,single,basket,MEDIUM
EZRO US,ALPHADROID DEFENSIVE SECTOR ROTATION ETF,Listed Funds Trust/Teucrium In,sub_strategy,Sector,Broad,HIGH
FAAA US,FIDELITY AAA CLO ETF,Fidelity Merrimack Street Trus,mechanism,physical,options,MEDIUM
FAAR US,FIRST TRUST ALTERNATIVE ABSOLUTE RETURN STRATEGY ETF,First Trust Exchange-Traded Fu,primary_strategy,Risk Mgmt,Plain Beta,HIGH
FAAR US,FIRST TRUST ALTERNATIVE ABSOLUTE RETURN STRATEGY ETF,First Trust Exchange-Traded Fu,sub_strategy,Alternatives,Broad,HIGH
FAAR US,FIRST TRUST ALTERNATIVE ABSOLUTE RETURN STRATEGY ETF,First Trust Exchange-Traded Fu,mechanism,physical,options,MEDIUM
FAN US,FIRST TRUST GLOBAL WIND ENERGY ETF,First Trust Exchange-Traded Fu,sub_strategy,Thematic,Sector,MEDIUM
FAPR US,FT VEST US EQUITY BUFFER ETF - APRIL,First Trust Exchange-Traded Fu,mechanism,physical,options,HIGH
